canonicalName,eolID,inaturalistID,gbifID,wikipediaID,arkiveID,adwID,fishbaseID,amphibiawebID
Septoria ficariae,1029493,384280,5264507,,,,,
Septoria fuchsiicola,6617671,384281,5264324,,,,,
Septoria geranii,162794,1337256,5264532,,,,,
Septoria kaznowskii,18183743,1339943,7703370,,,,,
Septoria matthiolae,46721154,1107605,7842849,,,,,
Septoria oenotherae,1030438,384321,5264217,,,,,
Septoria petroselini,1008841,384297,5264372,,,,,
Septoria plantaginea,154069,416383,5264464,,,,,
Septoria polygonorum,1009599,384302,5264334,,,,,
Septoria scabiosicola,1030485,384305,5264323,,,,,
Septoria sonchifolia,6618819,628568,5264326,,,,,
Septoria sorbi,11504949,1016580,3516694,,,,,
Septoria stachydis,1009248,384311,5264219,,,,,
Septoria stellariae,1030209,384312,5264349,,,,,
Septoria taraxaci,1030779,1081793,5264255,,,,,
Septoria trientalis,6618968,1016592,5264271,,,,,
Septoria veronicae,188427,703752,5264396,,,,,
Sphaerellothecium araneosum,1009587,174884,8554801,Q10674965,,,,
Sphaerellothecium parietinarium,8591154,1288613,2621741,,,,,
Sphaerellothecium reticulatum,18186649,218881,3502023,,,,,
Sphaerulina aceris,42803122,1123747,7370004,,,,,
Sphaerulina azaleae,39980162,1123988,8420774,Q7452332,,,,
Sphaerulina cornicola,42803168,966989,10371049,,,,,
Sphaerulina gei,42803185,925057,10125437,,,,,
Sphaerulina populicola,39980159,1020245,7851372,,,,,
Sphaerulina quercicola,39980173,987021,7720980,,,,,
Sphaerulina rehmiana,157426,384303,5263968,Q7576585,,,,
Sphaerulina westendorpii,42803299,803369,8324806,Q5173765,,,,
Stigmidium allogenum,11503489,231765,3529343,,,,,
Stigmidium apophlaeae,18191476,416579,2621779,,,,,
Stigmidium ascophylli,18191472,1426722,2621773,,,,,
Stigmidium cerinae,6627510,1115991,3512689,,,,,
Stigmidium epixanthum,6627517,768356,3512664,,,,,
Stigmidium gyrophorarum,193518,1124244,2623526,,,,,
Stigmidium lendemeri,42802775,504603,8014571,,,,,
Stigmidium microspilum,1008568,1017904,2623531,,,,,
Stigmidium pumilum,1032090,384445,2623524,,,,,
Stigmidium squamariae,6627539,231766,3512641,,,,,
Stigmina carpophila,998117,384739,5263931,Q619358,,,,
Zasmidium citrigriseum,46721735,1124535,7428741,,,,,
Zasmidium macluricola,11941117,1469133,7478172,,,,,
Zasmidium subsanguineum,18191619,1123982,7621478,Q7607545,,,,
Elsinoe ampelina,198351,382243,5894340,Q785213,,,,
Elsinoe corni,6612116,1093275,3499154,,,,,
Elsinoe fawcettii,1029119,379798,2613163,Q5367672,,,,
Elsinoe mattiroloanum,6612152,1348114,2613141,,,,,
Elsinoe perseae,46721840,1095968,3499166,Q7576474,,,,
Elsinoe quercus-ilicis,6612180,1262700,3499054,,,,,
Elsinoe rosarum,1017089,382227,6096448,Q5367678,,,,
Sphaceloma symphoricarpi,1017070,1237667,2613104,,,,,
Myriangium duriaei,187977,383255,2613192,,,,,
Cenococcum geophilum,245021,381512,2626458,Q1053404,,,,
Glonium circumserpens,199086,1260579,2613494,,,,,
Glonium lineare,1031266,992171,8990319,,,,,
Glonium stellatum,1030549,553534,7615471,,,,,
Psiloglonium pusillum,18206187,701403,5953697,,,,,
Psiloglonium stygium,52784330,1235315,9655984,,,,,
Actidium hysterioides,1009561,1394477,5262980,,,,,
Lophium mytilinum,159381,408033,9097761,,,,,
Mytilinidion mytilinellum,301841,383261,9056648,,,,,
Mytilinidion resinicola,6479431,939944,3528821,,,,,
Mytilinidion scolecosporum,190073,1019437,2618102,,,,,
Taeniolella delicata,193130,1018540,2618045,,,,,
Taeniolella faginea,191777,1466926,2618060,,,,,
Taeniolella phaeophysciae,1008567,795925,2618056,,,,,
Taeniolella punctata,194913,1018547,2618057,,,,,
Eutryblidiella hysterina,11503554,417679,2612505,,,,,
Patellaria atrata,18200653,351693,9172435,,,,,
Rhizodiscina lignyota,192509,384117,2612539,,,,,
Rhytidhysteron neorufulum,46721948,1455380,9032811,,,,,
Rhytidhysteron rufulum,189159,352259,2612509,Q7321999,,,,
Trichodelitschia bisporula,189244,1073518,7541135,,,,,
Trichodelitschia lundqvistii,18159016,1143878,3537924,,,,,
Trichodelitschia microspora,6512111,963008,3537922,,,,,
Trichodelitschia munkii,6512112,384571,2613958,,,,,
Amniculicola longissima,52782427,1096577,9708193,,,,,
Anteaglonium abbreviatum,6478917,350900,7515906,,,,,
Anteaglonium globosum,21313636,697676,7706301,,,,,
Anteaglonium parvulum,191277,932933,7707638,,,,,
Camarosporidiella elongata,52242074,1362150,9699540,,,,,
Caryospora minima,6442191,1075362,5513934,,,,,
