eolID,English,Arabic,Azerbaijani,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,Estonian,Finnish,French,German,Hebrew,Hungarian,Indonesian,Italian,Japanese,Lithuanian,Malay,Norwegian,Persian,Polish,Portuguese,Russian,Serbian,Slovak,Spanish,Swedish,Thai,Turkish,Ukrainian,Vietnamese
154790,,,,,,,,,,,,,Traubenförmiger Kugelpilz,,,,,,,,,,,,,,,,,,,,
6438231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6438899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8593862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42792052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21309957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8593551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8593550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8593547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11939859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11939919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11939954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11479892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998765,Sphaeropsis Blight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18164393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18162452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18164059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6429359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6429409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6429602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42796239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18163484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18162129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6430569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6430954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18162579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52782783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6431771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18194203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18194878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52240833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18194885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21312485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6616172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11941379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6416378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52783060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6417723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48558003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49251058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49251057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8590884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52241419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6441852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6441780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42516093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3032312,,زملول كرمي,,,,,Aureobazidium Klíčivé,,,,,,,,,,,,,,,,,,,,,,,,,,
37660556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44452031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18206025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
